SKU;Nome;Preço;Estoque;Grupo;Subgrupo
8.03.71.16.07;Almofada De Banho Azul - Baby Pil;149.9;2;Banho e Higiene;Utensílios de Higiene
8.03.71.17.00;Almofada De Banho Creme - Baby Pil;139.9;2;Banho e Higiene;Utensílios de Higiene
8.03.71.05.00;Almofada De Banho Gatinha Ágata Creme e Rosa - Baby Pil;149.9;2;Banho e Higiene;Utensílios de Higiene
8.03.71.10.00;Almofada De Banho Hipopótamo Luca Azul - Baby Pil;149.9;2;Banho e Higiene;Utensílios de Higiene
8.03.71.18.00;Almofada De Banho Patinho Joy Amarelo - Baby Pil;139.9;2;Banho e Higiene;Utensílios de Higiene
8.03.71.07.00;Almofada De Banho Urso Zeca Creme e Marrom - Baby Pil;139.9;1;Banho e Higiene;Utensílios de Higiene
8.01.28.21.00;Banheira de Bebê Plástica Premium Sand - Galzerano;449.9;1;Banho e Higiene;Banheira
8.04.61.09.10;Berço Portátil Acoplado 3 em 1 com Balanço Automático Cinza Claro – Mastela;1489.9;2;Quarto;Berços Portáteis
8.04.61.10.10;Berço Portátil Acoplado 3 em 1 com Balanço Automático Cinza Escuro – Mastela;1259.9;1;Quarto;Berços Portáteis
8.04.77.03.10;Berço Portátil Co-Sleeper Sugar Cinza e Branco - Singular Baby;499.9;2;Quarto;Berço
8.30.57.53.11;Bicicleta de Equilibrio Dino Verde - Buba;319.9;2;Bicicletas;Infantil
8.11.160.14.07;Bolsa de Passeio Cachorrinho - MaiT;239.9;1;Bolsas e Mochilas;Bolsas e Mochilas
8.11.160.11.76;Bolsa de Passeio Cavalinho - MaiT;239.9;1;Bolsas e Mochilas;Bolsas e Mochilas
8.11.160.33.07;Bolsa de Passeio Dino Marinho - MaiT;189.9;1;Bolsas e Mochilas;Bolsas e Mochilas
8.11.160.08.57;Bolsa de Passeio Vaquinha - MaiT;239.9;1;Bolsas e Mochilas;Bolsas e Mochilas
8.05.61.27.10;Cadeira de Descanso com Balanço e Moisés 360° 4 Em 1 Ursinho - Mastela;709.9;1;Quarto;Cadeira de Descanso
21.14.50.118.00;Cadeira Eames Infantil Azul Claro Base Em Madeira - Empório Tiffany;97.9;156;Móveis;Cadeira
21.14.50.122.00;Cadeira Eames Infantil Preta Base Em Madeira - Empório Tiffany;97.9;66;Móveis;Cadeira
21.14.50.1355.07;Cadeira Infantil Tiffany Azul;0.0;1;GRUPO DE PRODUTOS;SUB-GRUPO DE PRODUTOS
8.07.76.13.01;Cadeirinha de Carro Elevate 9 até 36 kg Black Triangle - Joie;589.9;1;Passeio;Cadeira para Carro
24.25.49.04.06;Lixeira Retrô com Pedal 20 litros Branca - Mollie;295.9;1;Casa;Lixeira
8.11.160.34.07;Necessaire Dino Marinho - MaiT;89.9;1;Bolsas e Mochilas;Bolsas e Mochilas
8.11.160.06.02;Necessaire Ovelhinha - MaiT;109.9;1;Bolsas e Mochilas;Bolsas e Mochilas
8.11.160.09.57;Necessaire Vaquinha - MaiT;109.9;1;Bolsas e Mochilas;Bolsas e Mochilas
8.09.28.78.01;Carrinho de Bebê Travel System Duo Napoli Preto e Cobre - Galzerano;1159.9;3;Carrinho de Bebê;Carrinho Travel System
8.09.28.77.01;Carrinho Travel System Milano Reversível II Preto e Cobre - Galzerano;959.9;2;Carrinho de Bebê;Carrinho Travel System
21.14.50.119.00;Conjunto Com 2 Cadeiras Eames Infantil Azul Claro Base Em Madeira - Empório Tiffany;194.9;95;Móveis;Cadeira
21.14.50.123.00;Conjunto Com 2 Cadeiras Eames Infantil Preta Base Em Madeira - Empório Tiffany;194.9;133;Móveis;Cadeira
21.14.50.125.00;Conjunto Com 2 Cadeiras Eames Infantil Rosa Base Em Madeira - Empório Tiffany;194.9;121;Móveis;Cadeira
8.25.75.40.18;Rosquinhas de Amamentação Rosê - D´Bella for Baby;59.9;1;Alimentação;Acessórios de Alimentação
8.25.75.38.00;Saco Maternidade 3 peças - D´Bella for Baby;59.9;1;Passeio;Acessórios para Passeio
8.25.75.81.10;Toalha de Banho Clássica Pequena com Fralda 0 a 2 anos Poá Cinza - D'Bella For Baby;139.9;1;Banho e Higiene;Toalha
8.25.75.35.00;Toalha de Banho Pequena com Fralda Solta 0 a 2 anos Estampado Listrado Azul - D´Bella for Baby;149.9;2;Banho e Higiene;Toalha
8.25.75.73.00;Toalha de Banho Pequena Estampada Borboletas - D´Bella for Baby;139.9;1;Banho e Higiene;Toalha
